Name,|V|,|E|,Randomized,Greedy,SemiGreedy,LocalIteration,LocalSearch,GRASPIteration,GRASP,BestKnown
g12,800,1600,-5.36,418,472,10,490,7,488,?
g13,800,1600,16,432,472,2,474,8,510,?
g11,800,1600,14.6,434,450,13,474,7,502,?
g15,800,4661,2328.92,2873,2938,17,2961,23,2970,?
g14,800,4694,2347.45,2890,2944,20,2968,22,2994,?
g17,800,4667,2332.17,2864,2915,30,2951,26,2969,?
g16,800,4672,2339.15,2878,2926,18,2948,25,2977,?
g18,800,4694,34.13,780,788,45,867,46,900,?
g19,800,4661,-51.13,681,736,38,799,49,815,?
g2,800,19176,9591.83,11030,11136,86,11329,76,11435,?
g1,800,19176,9588.74,10956,11131,73,11346,83,11453,?
g10,800,19176,-80.45,1350,1464,92,1713,90,1816,?
g20,800,4672,-22.39,698,723,47,804,45,847,?
g21,800,4667,-33.97,704,689,64,788,49,844,?
g3,800,19176,9567.96,11012,11159,64,11342,75,11458,?
g23,2000,19990,10000.8,12291,12663,121,12873,115,12998,?
g25,2000,19990,9993.57,12408,12704,122,12924,113,13016,?
g22,2000,19990,9981.38,12346,12641,121,12890,119,13005,?
g26,2000,19990,9994.49,12355,12688,151,12977,118,12988,?
g24,2000,19990,9987.18,12367,12684,143,12924,121,13021,?
g29,2000,19990,54.11,2367,2648,172,2967,158,2997,?
g30,2000,19990,59.6,2401,2661,169,2988,159,2992,?
g27,2000,19990,-22.68,2316,2520,187,2877,155,2947,?
g28,2000,19990,-49.58,2329,2489,186,2866,156,2914,?
g4,800,19176,9581.81,11031,11154,86,11396,82,11470,?
g32,2000,4000,10.24,1058,1124,21,1164,19,1240,?
g34,2000,4000,-25.42,988,1134,12,1160,17,1208,?
g33,2000,4000,-15.16,1000,1158,12,1182,18,1222,?
g37,2000,11785,5903.16,7264,7358,63,7441,56,7477,?
g38,2000,11779,5888.27,7305,7359,66,7450,59,7491,?
g35,2000,11778,5897.32,7252,7344,62,7425,57,7488,?
g36,2000,11766,5880.5,7225,7348,64,7426,56,7465,?
g39,2000,11778,14.35,1861,1765,168,2057,147,2121,?
g40,2000,11766,-47.91,1834,1909,78,2039,122,2115,?
g41,2000,11785,-2.57,1876,1876,114,2068,117,2137,?
g31,2000,19990,-51.94,2290,2457,168,2792,158,2932,?
g51,1000,5909,2953.08,3626,3673,32,3713,29,3745,?
g52,1000,5916,2948.88,3650,3713,28,3750,32,3776,?
g43,1000,9990,4995.6,6188,6333,50,6443,61,6516,?
g44,1000,9990,4993.36,6157,6316,44,6400,62,6506,?
g45,1000,9990,4989,6179,6339,57,6447,62,6490,?
g47,1000,9990,4995.36,6220,6338,66,6481,62,6500,?
g46,1000,9990,4987.2,6150,6323,70,6442,59,6519,?
g5,800,19176,9596.28,10990,11259,59,11414,81,11460,?
g42,2000,11779,50.35,1989,1862,123,2079,123,2214,?
g49,3000,6000,3004.2,6000,6000,1,6000,1,6000,?
g48,3000,6000,3001.84,6000,6000,1,6000,1,6000,?
g50,3000,6000,3005.14,5880,5860,1,5860,1,5874,?
g53,1000,5914,2955.12,3632,3690,23,3716,28,3752,?
g54,1000,5916,2957.84,3633,3684,35,3734,30,3756,?
g9,800,19176,-33.95,1507,1507,73,1728,87,1904,?
g8,800,19176,-78.99,1331,1478,141,1788,90,1835,?
g6,800,19176,71.75,1515,1690,113,1992,96,2006,?
g7,800,19176,-75.49,1362,1453,102,1741,92,1832,?
